Rank,Brand,Country,lndustry,score,source
5,Outotec,Finland,Construction & Engineering,78.30%,Corporate Knights
9,Siemens,Germany,Industrial Conglomerates,76.70%,Corporate Knights
10,Samsung SDI,South Korea,"Electronic Equipment, Instruments & Components",75.80%,Corporate Knights
14,Natura Cosmeticos,Brazil,Personal Products,74.10%,Corporate Knights
23,McCormick,United States,Food Products,71.50%,Corporate Knights
26,Intel,United States,Semiconductors & Semiconductor Equipment,71.10%,Corporate Knights
31,Kesko,Finland,Food & Staples Retailing,70.20%,Corporate Knights
47,Kering,France,"Textiles, Apparel & Luxury Goods",66.80%,Corporate Knights
50,Nestle,Switzerland,Food Products,66.60%,Corporate Knights
55,Sekisui Chemical,Japan,Household Durables,65.60%,Corporate Knights
57,H & M Hennes & Mauritz,Sweden,Specialty Retail,65.10%,Corporate Knights
61,Diageo,United Kingdom,Beverages,64.20%,Corporate Knights
67,Coca-Cola European Partners,United Kingdom,Beverages,63.20%,Corporate Knights
72,Lenovo Group,China,"Technology Hardware, Storage & Peripherals",62.60%,Corporate Knights
84,L'Oreal,France,Personal Products,60.70%,Corporate Knights
87,Orkla,Norway,Food Products,60.40%,Corporate Knights
1,Valio,Finland,Dairy products,NA,Finland sustainability
2,Kotimaista,Finland,Dairy products,NA,Finland sustainability
3,Fazer,Finland,Chocolate,NA,Finland sustainability
4,Tesla,Finland,NA,NA,Finland sustainability
5,Partioaitta,Finland,NA,NA,Finland sustainability
6,Prisma,Finland,NA,NA,Finland sustainability
7,Fiskars,Finland,NA,NA,Finland sustainability
8,Myllyn Paras,Finland,NA,NA,Finland sustainability
9,VR,Finland,NA,NA,Finland sustainability
10,S-market,Finland,NA,NA,Finland sustainability
11,Oululainen,Finland,NA,NA,Finland sustainability
12,Paulig,Finland,NA,NA,Finland sustainability
13,Finlayson,Finland,NA,NA,Finland sustainability
14,Saarioinen,Finland,NA,NA,Finland sustainability
15,Vaasan,Finland,NA,NA,Finland sustainability
16,K-market,Finland,NA,NA,Finland sustainability
17,K-supermarket,Finland,NA,NA,Finland sustainability
18,Kariniemen,Finland,NA,NA,Finland sustainability
19,Snellman,Finland,NA,NA,Finland sustainability
20,The Body Shop,Finland,NA,NA,Finland sustainability
21,K-Citymarket,Finland,NA,NA,Finland sustainability
22,Pirkka,Finland,NA,NA,Finland sustainability
23,Sokos Hotels,Finland,NA,NA,Finland sustainability
24,Arla,Finland,NA,NA,Finland sustainability
25,Ingman,Finland,NA,NA,Finland sustainability
26,Kesko,Finland,NA,NA,Finland sustainability
27,Finnair,Finland,NA,NA,Finland sustainability
28,Hackman,Finland,NA,NA,Finland sustainability
29,iittala,Finland,NA,NA,Finland sustainability
30,S-Pankki,Finland,NA,NA,Finland sustainability
31,Marimekko,Finland,NA,NA,Finland sustainability
32,Helen,Finland,NA,NA,Finland sustainability
33,OP,Finland,NA,NA,Finland sustainability
34,Atria,Finland,NA,NA,Finland sustainability
35,Arabia,Finland,NA,NA,Finland sustainability
36,Lidl,Finland,NA,NA,Finland sustainability
37,Neste,Finland,NA,NA,Finland sustainability
38,Apetit,Finland,NA,NA,Finland sustainability
39,Kotipizza,Finland,NA,NA,Finland sustainability
40,Vattenfall,Finland,NA,NA,Finland sustainability
41,S Group,Finland,NA,NA,Finland sustainability
42,Vantaan Energia,Finland,NA,NA,Finland sustainability
43,Alko,Finland,NA,NA,Finland sustainability
44,Hartwall,Finland,NA,NA,Finland sustainability
45,Panda,Finland,NA,NA,Finland sustainability
46,HK,Finland,NA,NA,Finland sustainability
47,Sokos,Finland,NA,NA,Finland sustainability
48,Meira,Finland,NA,NA,Finland sustainability
49,Fortum,Finland,NA,NA,Finland sustainability
50,K-Rauta,Finland,NA,NA,Finland sustainability
51,Elisa,Finland,NA,NA,Finland sustainability
52,Hesburger,Finland,NA,NA,Finland sustainability
53,Pouttu,Finland,NA,NA,Finland sustainability
54,IKEA,Finland,NA,NA,Finland sustainability
55,Lähi-Tapiola,Finland,NA,NA,Finland sustainability
56,Volvo,Finland,NA,NA,Finland sustainability
57,Tarmo lähikauppa,Finland,NA,NA,Finland sustainability
58,Omnibus,Finland,NA,NA,Finland sustainability
59,Scandic,Finland,NA,NA,Finland sustainability
60,If,Finland,NA,NA,Finland sustainability
61,St1,Finland,NA,NA,Finland sustainability
62,Sinebrychoff,Finland,NA,NA,Finland sustainability
63,ABC,Finland,NA,NA,Finland sustainability
64,Stockmann,Finland,NA,NA,Finland sustainability
65,Cumulus,Finland,NA,NA,Finland sustainability
66,Felix,Finland,NA,NA,Finland sustainability
67,Findus,Finland,NA,NA,Finland sustainability
68,Säästöpankki,Finland,NA,NA,Finland sustainability
69,Verkkokauppa.com,Finland,NA,NA,Finland sustainability
70,INTERSPORT,Finland,NA,NA,Finland sustainability
71,Turku Energia,Finland,NA,NA,Finland sustainability
